"","V1","V2","V3","V4","V5","V6"
"211",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"191",0.292146695481001,4.39680197139872,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"89",-0.235396661528595,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"422",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"154",0.292146695481001,4.39680197139872,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"152",0.292146695481001,4.67406222823919,5.47161699344641,1.87372464728218,2.13430057701156,Inf
"354",0.292146695481001,4.39680197139872,5.27094901027651,1.8465499606996,2.13430057701156,Inf
"421",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"244",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"2",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"346",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"283",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"239",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"209",0.292146695481001,4.67406222823919,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"357",0.292146695481001,4.39680197139872,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"352",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"195",0.292146695481001,4.39680197139872,5.27094901027651,3.33328111232641,2.13430057701156,Inf
"11",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"318",0.500094993497765,4.28882406194719,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"134",0.425925985626979,4.39680197139872,6.39373660760812,1.87372464728218,2.13430057701156,Inf
"74",0.292146695481001,3.36215019432609,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"472",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"294",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"366",0.292146695481001,4.67406222823919,5.27094901027651,3.33328111232641,2.13430057701156,Inf
"398",0.500094993497765,4.39680197139872,6.39373660760812,1.87372464728218,2.13430057701156,Inf
"259",0.292146695481001,5.34794075913862,6.88748609876978,3.13015303077756,2.13430057701156,Inf
"16",0.292146695481001,3.22715478140604,6.0654288487985,1.87372464728218,2.13430057701156,Inf
"276",0.292146695481001,4.39680197139872,6.39373660760812,1.87372464728218,2.13430057701156,Inf
"46",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"49",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"461",0.292146695481001,4.39680197139872,6.88748609876978,1.61800564930349,2.13430057701156,Inf
"45",0.292146695481001,4.39680197139872,5.27094901027651,3.17582496930905,2.09982159140666,Inf
"271",0.292146695481001,3.52925299903806,6.88748609876978,3.17582496930905,2.13430057701156,Inf
"449",0.292146695481001,4.91685975692136,5.47161699344641,1.87372464728218,2.13430057701156,Inf
"249",0.292146695481001,4.39680197139872,6.39373660760812,1.87372464728218,2.13430057701156,Inf
"3",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"397",0.292146695481001,3.36215019432609,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"451",0.292146695481001,4.39680197139872,5.27094901027651,1.8656082358758,2.13430057701156,Inf
"478",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"453",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"332",0.292146695481001,4.67406222823919,6.88748609876978,1.61800564930349,2.13430057701156,Inf
"310",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"228",0.292146695481001,4.67406222823919,6.88748609876978,3.33328111232641,2.13430057701156,Inf
"101",0.292146695481001,4.39680197139872,5.27094901027651,1.87372464728218,2.13430057701156,Inf
"130",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"68",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"121",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"312",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"102",0.292146695481001,3.22715478140604,8.16093020534391,1.87372464728218,2.13430057701156,Inf
"126",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"328",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"263",0.292146695481001,4.74315878141945,5.27094901027651,1.61800564930349,2.13430057701156,Inf
"63",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"415",0.292146695481001,3.22715478140604,6.88748609876978,3.33328111232641,2.13430057701156,Inf
"447",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"386",0.292146695481001,3.19490485295853,7.47580343535703,1.87372464728218,2.13430057701156,Inf
"345",0.292146695481001,5.60313660196015,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"336",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"190",0.292146695481001,3.22715478140604,6.39373660760812,1.87372464728218,2.13430057701156,Inf
"8",0.292146695481001,4.67406222823919,6.88748609876978,3.33328111232641,2.13430057701156,Inf
"388",0.182458127464271,4.39680197139872,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"462",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"260",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"429",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"137",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"498",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"457",0.292146695481001,4.39680197139872,5.27094901027651,1.87372464728218,2.13430057701156,Inf
"331",0.292146695481001,4.39680197139872,5.27094901027651,1.61800564930349,2.13430057701156,Inf
"474",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"432",0.292146695481001,3.22715478140604,6.88748609876978,0.552055684422501,2.13430057701156,Inf
"288",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"483",0.292146695481001,4.39680197139872,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"463",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"412",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"490",0.500094993497765,4.28882406194719,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"200",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"446",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"485",0.292146695481001,4.67406222823919,6.39373660760812,1.87372464728218,2.13430057701156,Inf
"183",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"80",0.292146695481001,3.22715478140604,6.88748609876978,3.33328111232641,2.13430057701156,Inf
"57",0.292146695481001,2.81136244607948,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"428",0.292146695481001,3.22715478140604,8.11089981818009,1.87372464728218,2.13430057701156,Inf
"448",0.292146695481001,3.22715478140604,6.88748609876978,2.10084357304238,2.13430057701156,Inf
"349",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"35",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"9",0.292146695481001,3.22715478140604,6.39373660760812,1.87372464728218,2.13430057701156,Inf
"395",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"243",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"479",0.292146695481001,4.39680197139872,5.27094901027651,1.87372464728218,2.13430057701156,Inf
"392",0.292146695481001,4.39680197139872,7.43839104336389,1.87372464728218,2.13430057701156,Inf
"159",0.292146695481001,4.39680197139872,5.27094901027651,3.33328111232641,2.13430057701156,Inf
"110",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"358",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"50",0.182458127464271,3.22715478140604,6.88748609876978,3.39477997161846,2.13430057701156,Inf
"430",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"327",0.292146695481001,3.22715478140604,7.46778231991967,1.87372464728218,2.13430057701156,Inf
"27",0.292146695481001,4.39680197139872,6.88748609876978,3.17582496930905,2.13430057701156,Inf
"98",0.292146695481001,4.28882406194719,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"266",0.292146695481001,4.39680197139872,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"224",0.292146695481001,4.87384951065025,5.31762401408939,3.17582496930905,2.13430057701156,Inf
"19",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"301",0.292146695481001,4.39680197139872,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"409",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"28",0.292146695481001,3.23885184277772,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"477",0.292146695481001,4.39680197139872,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"460",0.292146695481001,4.67406222823919,5.47161699344641,1.87372464728218,2.13430057701156,Inf
"213",0.292146695481001,4.39680197139872,5.27094901027651,1.8465499606996,2.13430057701156,Inf
"407",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"329",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"304",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"132",0.292146695481001,3.22715478140604,7.9814862684513,1.87372464728218,2.13430057701156,Inf
"162",0.292146695481001,4.67406222823919,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"481",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"408",0.292146695481001,4.67406222823919,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"201",0.292146695481001,4.39680197139872,5.27094901027651,1.61800564930349,2.13430057701156,Inf
"127",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"337",0.292146695481001,4.39680197139872,5.27094901027651,3.33328111232641,2.13430057701156,Inf
"115",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"124",0.500094993497765,4.28882406194719,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"197",0.292146695481001,3.22715478140604,6.39373660760812,1.36940094302132,2.13430057701156,Inf
"223",0.292146695481001,3.36215019432609,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"177",0.292146695481001,3.04384405450638,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"468",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"330",0.292146695481001,4.39680197139872,5.27094901027651,3.33328111232641,2.13430057701156,Inf
"496",0.500094993497765,4.28882406194719,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"187",0.292146695481001,5.34794075913862,5.27094901027651,1.87372464728218,2.13430057701156,Inf
"292",0.292146695481001,3.22715478140604,6.88748609876978,1.87372464728218,2.13430057701156,Inf
"305",0.292146695481001,4.39680197139872,6.39373660760812,1.87372464728218,2.13430057701156,Inf
