"","V1","V2","V3","V4"
"72",-0.103157792719564,2.20833863845433,1.66757637396636,Inf
"6",-0.103157792719564,2.20833863845433,1.73317271961571,Inf
"10",-0.103157792719564,2.20833863845433,1.66757637396636,Inf
"11",-0.103157792719564,2.20833863845433,1.66757637396636,Inf
"97",-0.103157792719564,2.20833863845433,1.73317271961571,Inf
"49",-0.103157792719564,2.20833863845433,1.73317271961571,Inf
"20",-0.103157792719564,2.39066241117821,1.66757637396636,Inf
"9",-0.103157792719564,2.20833863845433,1.66757637396636,Inf
"70",-0.103157792719564,2.20833863845433,1.73317271961571,Inf
"42",-0.103157792719564,2.20833863845433,1.66757637396636,Inf
"84",-0.103157792719564,2.20833863845433,1.66757637396636,Inf
"37",-0.103157792719564,2.20833863845433,1.73317271961571,Inf
"96",-0.214013988759461,2.20833863845433,1.73317271961571,Inf
