"","V1","V2","V3","V4","V5","V6","V7"
"52",0.797487430766487,2.37581351748527,3.88733301028683,2.62598676566186,1.8526263754092,3.90644023812446,Inf
"43",0.692523696381697,2.37581351748527,3.88733301028683,2.62598676566186,1.93496583119178,3.90644023812446,Inf
"61",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,3.90644023812446,Inf
"147",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,4.42519626319787,Inf
"34",0.797487430766487,2.37581351748527,3.88733301028683,1.68323891416978,1.8526263754092,3.90644023812446,Inf
"183",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,3.90644023812446,Inf
"73",0.797487430766487,2.37581351748527,3.88733301028683,2.62598676566186,1.8526263754092,3.90644023812446,Inf
"70",0.797487430766487,2.37581351748527,3.88733301028683,2.62598676566186,1.8526263754092,3.90644023812446,Inf
"15",0.797487430766487,2.37581351748527,3.88733301028683,1.76029266077947,1.93496583119178,4.42519626319787,Inf
"156",0.797487430766487,2.37581351748527,3.88733301028683,1.68323891416978,1.93496583119178,3.90644023812446,Inf
"103",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,4.42519626319787,Inf
"87",0.797487430766487,2.37581351748527,3.88733301028683,2.62598676566186,1.93496583119178,4.42519626319787,Inf
"133",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,4.42519626319787,Inf
"132",0.797487430766487,2.37581351748527,3.88733301028683,2.62598676566186,1.8526263754092,3.90644023812446,Inf
"53",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,3.90644023812446,Inf
"92",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,4.42519626319787,Inf
"162",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,3.90644023812446,Inf
"153",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,3.90644023812446,Inf
"5",0.797487430766487,2.37581351748527,3.79521149424041,1.68323891416978,1.8526263754092,4.20328746048887,Inf
"98",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,3.90644023812446,Inf
"123",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,4.42519626319787,Inf
