,UID,Site,Country,State,Latitude,Longitude,Lat.Long.source,C14,SD,AMS,Material,Laboratory,Reference,Context,OBS,NEW,C14Cor,bp,optional
72,72,Rojdi,India,Gujarat,21.863056,70.918889,L,4270,110,No,Charcoal,PRL-1091,IAR86-87,"Post-urban Harappan, Trench 45K",Mature Harappan/Rojdi C have SWA,Yes,NA,4832,TRUE
224,9999,Sabha,,Jordan,32.3833,35.7333,,8430,70,,,TO-3987,,,,,,,
250,9999,Sabi Abyad II,,Syria,36.9333,40.5667,,8530,60,,,GrN-21319,,,,,,,
73,73,Said Qala Tepe,Afghanistan,Kandahar,31.533828,65.592094,L,3821,90,null,null,DIC-20,S2,,,,3713,4220,TRUE
189,9999,Samir,,Israel,32.8,34.95,,6830,60,,charcoal,Pta-3821,,,,,,,
166,9999,Sang-i-Chakhmak Oues,,Iran,35.2943,44.726,,7270,125,,,,,,,,,,
74,74,Sannarachamma (Sanganakallu),India,Karnataka,15.1833,76.9667,AK2,3550,40,Yes,Seed: Triticum sp.,R-28680/4,"BKF, FBK",SAN 1204 (lowest ashmound),,Yes,NA,3842,TRUE
75,75,Sanyasula Gavi,India,Andhra Pradesh,15.467222,78.216667,PKB,3515,35,Yes,Seed: Vigna radiata,R-28680/33,"FH, PKB",,,,3416,3779,TRUE
169,9999,Sarab,,Iran,34.5,47.25,,7956,98,,charcoal,P-466,,,,,,,
131,999,Sarai Khola,Pakistan,Punjab,33.730786,72.800216,L,4161,200,No,null,BM-1944,S2,"Period II, Kot Diji",KOT DIJI,Yes,NA,4681,TRUE
137,9999,Saruq,,Oman,23.6111,58.4569,,6685,105,,,Hv-14211,,,,,,,
181,9999,Sawwan I,,Iraq,34.167,43.833,,7456,73,,charcoal,P-855,,,,,,,
159,9999,"Sedd Adh-Dhra?a II, 1",,Yemen,14.55,44.4017,,7080,140,,,Beta-90837,,,,,,,
76,76,Seh Gabi,Iran,Kermanshah,34.583333,48,M,6220,80,null,null,Sl-2668,M,,,,6220,7106,TRUE
193,9999,Shaar Hagolan,,Israel,32.6833,35.6,,7495,50,,charcoal,OxA-7919*,,,,,,,
145,9999,Shagra A,,Qatar,24.8272,51.3947,,7520,90,,,Gif-5938,,,,,,,
77,77,Sheikh-e Abad,Iran,Kermanshah,34.611667,47.269722,M,9810,60,null,Ash,Beta-258647,M,,,,9810,11228,TRUE
182,9999,Shimshara,,Iraq,35.4681,44.3922,,10030,160,,,K-981,,,,,,,
265,9999,Shomu,,Azerbijan,41.3228,45.265,,7510,70,,,LE-629,,,,,,,
219,9999,Shu'eib,,Jordan,31.4631,35.5683,,9100,140,,,Bta-35087,,,,,,,
136,9999,Shuwayr 1,,Oman,23.2369,58.1183,,6220,60,,,Bln-3644/II,,,,,,,
240,9999,Sinn,,Syria,36.2167,37.4,,8650,50,,,GrN-9833,,,,,,,
78,78,Sohr Damb/Nal,Pakistan,Baluchistan,26.5,65.466667,L,4501,32,null,null,Bln-5384,GFV,,,,4501,5162,TRUE
79,79,Songaon I,India,Maharashtra,18.65,74.0833,AK2,3515,105,No,Charcoal,TF-384,"PR2, IAR66-67","Blotchy Gray Ware, Coarse Red Ware, Jorwe culture",Maharashtra Chalco,Yes,NA,3790,TRUE
179,9999,Sotto,,Iraq,36.3605,43.1191,,7470,60,,,IGAN-769,,,,,,,
158,9999,Surdud-1 n,,Yemen,15.1847,43.51,,6325,90,,,GX-13782,,,,,,,
132,999,Surkotada,India,Gujarat,23.616667,70.833333,L,4265,135,No,Charcoal,PRL-85,"PJ, S2, IAR73-74","Period IA, Chalcolithic, Harappan, Trench ZFI, Qd 2, Layer 13-14",HARAPPAN,Yes,NA,4827,TRUE
220,9999,Tabaqat al-Buma,,Jordan,32.5,35.5833,,7800,70,,bone,TO-1407,,,,,,,
80,80,Tal-i Bakun B,Iran,Isfahan,33.166667,52.833333,M,6264,70,Yes,Ash,P-931,M,,,,6264,7178,TRUE
81,81,Tal-i Gap,Iran,Fars,29.916667,53,M,5870,160,null,Charcoal,GaK-197,M,,,,5870,6694,TRUE
82,82,Tal-i Iblis,Iran,Khuzestan,32.2,48.216667,M,6210,130,null,null,Gx-869,M,,,,6210,7092,TRUE
83,83,Tal-i Jari B,Iran,Fars,29.933333,52.883333,M,7297,45,Yes,Charred bone,AA-65264,M,,,,7297,8103,TRUE
84,84,Tal-i Mushki,Iran,Fars,29.752947,53.008291,Google Earth,7425,35,,Charcoal,TKa-13817,Khanipour et al. 2021,MS-LI1 2al,,,NA,8262,TRUE
85,85,Tapeh Mahtaj,Iran,Khuzestan,30.635456,50.203919,Darabi et al. 2021,8125,42,Yes,Charcoal,26665,Darabi et al. 2021,"Middle phase, context 3002",,Yes,NA,9069,TRUE
86,86,Tekkalakota,India,Karnataka,15.534522,76.879198,Google Earth,3570,105,null,Charcoal: Soymida Jebrifuga,TF-237,"PR2, IAR75-76",,,,3469,3868,TRUE
210,9999,Tel Ali,,Israel,31.067,35.5,,7975,70,,,OxA-7886*,,,,,,,
87,87,Tepe Abdul Hosein,Iran,Hamadan,34.183333,48.166667,M,8945,275,null,null,GX-6356,M,,,,8945,10037,TRUE
88,88,Tepe Asiab,Iran,Kermanshah,34.3,47.066667,M,9775,85,null,Charcoal,GrN-6413,M,,,,9775,11192,TRUE
89,89,Tepe Ebrahim Abad,Iran,Qazvin,36.062798,50.138179,Pollard et al. 2012,6579,33,,Charcoal,OxA-17607,Pollard et al. 2012,,,Yes,NA,7476,TRUE
90,90,Tepe Gaz Tavileh,Iran,Kerman,28.3333,56.5833,AKK,6670,150,null,Charcoal,PRL-744,AKK,,,,6670,7542,TRUE
91,91,Tepe Guran,Iran,Ilam,32.5,47.25,M,8280,40,Yes,Bone (collagen),Beta-177177,M,,,,8280,9281,TRUE
92,92,Tepe Sabz,Iran,Ilam,32.6,47.266667,M,9050,160,null,Chunks of carbonized wood,UCLA-750C,M,,,,9050,10181,TRUE
93,93,Tepe Sarab,Iran,Kermanshah,34.65,47.25,M,8070,60,Yes,Bone (collagen),Beta-159550,M,,,,8070,8976,TRUE
94,94,Tepe Siahbid,Iran,Kermanshah,34.5,47.25,M,5870,120,null,null,QU-1035,M,,,,5870,6687,TRUE
95,95,Tepe Sialk,Iran,Isfahan,34.383333,51.633333,M,5700,90,null,Organic material (barley?),Gx-949,M,,,,5700,6495,TRUE
96,96,Tepe Yahya,Iran,Hormozgan,28.330867,56.867317,Google Earth,6670,180,null,null,PRL-748,M,,Ceramic,,6670,7542,TRUE
97,97,Tepe Zagheh,Iran,Qazvin,35.869663,49.941201,Pollard et al. 2012,6410,50,,Charcoal,WK-12862,Pollard et al. 2012,There is an earliest date which is not considered correct,,,NA,7336,TRUE
98,98,Terdal,India,Karnataka,16.499212,75.049814,Google Earth,3885,100,null,Charcoal,TF-684,IAR67-68,,,,3775,4302,TRUE
177,9999,Thalathat II,,Iraq,36.45,42.63,,7520,120,,charcoal,TK-24,,,,,,,
